ID,Category,years_experience,cert_count,quantified_achievements,structural_completeness_score,word_count,quality_cluster_kmeans,quality_cluster_dbscan
16852973,HR,15,3,0,5,674,1,0
22323967,HR,0,0,0,4,708,0,1
33176873,HR,20,0,0,4,1017,1,1
27018550,HR,0,1,0,4,379,0,1
17812897,HR,0,0,0,4,1206,0,1
11592605,HR,0,2,0,4,666,0,1
25824789,HR,0,0,0,4,637,0,1
15375009,HR,0,0,1,3,1106,0,2
11847784,HR,15,0,0,5,796,1,0
32896934,HR,0,3,0,5,716,2,0
29149998,HR,0,2,0,4,679,0,1
11480899,HR,0,1,0,6,1123,2,3
23155093,HR,0,0,0,5,732,0,0
11763983,HR,0,1,0,4,715,0,1
27490876,HR,0,2,0,5,724,0,0
32977530,HR,0,0,2,4,750,0,1
93002334,HR,0,1,0,5,701,0,0
24184357,HR,0,0,0,4,1123,0,1
73077810,HR,0,0,1,5,642,0,0
13879043,HR,7,2,1,4,802,0,1
30163002,HR,0,0,0,4,620,0,1
18827609,HR,3,0,2,4,1108,0,1
25676643,HR,0,0,1,5,1510,2,0
12786012,HR,0,2,0,6,628,2,3
87968870,HR,0,0,1,5,757,0,0
46258701,HR,0,0,0,4,612,0,1
14225422,HR,0,0,0,4,798,0,1
29297973,HR,0,2,2,5,706,2,0
18334783,HR,0,0,0,4,643,0,1
19717385,HR,0,5,1,5,941,2,0
49937469,HR,0,0,1,4,794,0,1
18316239,HR,0,2,3,3,776,0,2
17855844,HR,0,4,2,3,906,0,2
57667857,HR,0,3,1,5,1552,2,0
17422560,HR,0,1,1,4,729,0,1
32947778,HR,0,0,0,6,1015,2,3
23914451,HR,0,1,0,5,638,0,0
21265194,HR,0,0,0,5,1213,0,0
51769822,HR,30,1,0,5,623,1,-1
19616406,HR,0,2,0,4,765,0,1
41523474,HR,0,0,0,5,724,0,0
59962788,HR,0,5,0,4,748,0,1
86184722,HR,0,0,4,3,859,0,2
28419173,HR,0,0,0,4,840,0,1
18155310,HR,0,5,1,7,813,2,4
26780935,HR,0,0,2,4,581,0,1
34554248,HR,3,3,1,4,896,0,1
26202430,HR,0,0,0,6,1102,2,3
19867922,HR,0,0,0,4,659,0,1
91930382,HR,0,0,0,4,421,0,1
30646367,HR,0,2,0,3,913,0,2
39650734,HR,5,2,0,5,917,2,0
72231872,HR,9,0,1,5,1177,1,0
13520837,HR,0,1,0,5,825,0,0
18422164,HR,0,0,0,6,828,2,3
30862904,HR,10,1,2,5,826,1,0
52979663,HR,0,0,6,3,750,0,-1
28828844,HR,0,0,0,4,828,0,1
21830565,HR,0,3,0,6,1066,2,3
27523575,HR,0,0,0,6,706,2,3
39081840,HR,0,2,0,4,979,0,1
20925036,HR,0,0,0,5,1038,0,0
15576950,HR,0,0,1,3,700,0,2
29564653,HR,0,2,1,4,714,0,1
14886205,HR,0,2,2,5,687,2,0
17412079,HR,7,1,2,5,851,2,0
16861758,HR,0,2,0,4,748,0,1
93112113,HR,0,1,0,5,891,0,0
15041689,HR,0,0,0,4,662,0,1
80162314,HR,0,0,0,4,713,0,1
20993320,HR,0,0,0,4,726,0,1
14640322,HR,20,0,0,4,717,1,1
26289308,HR,0,1,1,5,670,0,0
23408537,HR,0,4,0,5,653,2,0
28808263,HR,0,0,0,5,713,0,0
18084150,HR,0,1,1,5,734,0,0
26671167,HR,0,2,1,4,670,0,1
44476983,HR,0,0,0,6,759,2,3
16877897,HR,0,1,0,4,1065,0,1
29091445,HR,0,2,0,5,686,0,0
25724495,HR,0,0,2,4,914,0,1
24508725,HR,6,6,0,5,2302,2,-1
11698189,HR,0,0,0,5,511,0,0
27165830,HR,0,2,1,5,1002,2,0
47470864,HR,0,1,0,5,814,0,0
34740556,HR,8,0,0,4,674,0,1
18557164,HR,0,1,0,5,662,0,0
19179079,HR,0,1,1,5,1761,2,0
13376919,HR,0,0,0,5,660,0,0
26048718,HR,0,1,3,4,1652,2,-1
17150707,HR,0,0,0,4,648,0,1
18297650,HR,0,1,0,5,1318,2,0
23510685,HR,0,0,0,5,846,0,0
39970711,HR,0,1,0,5,632,0,0
20806155,HR,0,1,0,4,3119,2,-1
28640735,HR,0,0,1,4,1054,0,1
15575117,HR,0,1,0,5,1197,2,0
27496514,HR,0,2,4,5,641,2,0
14256329,HR,0,0,0,4,683,0,1
19336728,HR,0,1,0,5,254,0,0
10694288,HR,0,0,0,4,647,0,1
28175164,HR,0,3,3,6,910,2,3
10399912,HR,0,5,0,6,720,2,3
20417897,HR,0,3,0,6,676,2,3
18731098,HR,0,2,0,6,919,2,3
30563572,HR,0,3,1,5,665,2,0
24402267,HR,0,1,0,6,807,2,3
32308556,HR,0,1,0,4,716,0,1
27847081,HR,0,2,0,4,760,0,1
25150191,HR,0,0,0,5,661,0,0
37058472,DESIGNER,0,1,0,5,582,0,0
68240723,DESIGNER,0,1,0,4,565,0,1
76010167,DESIGNER,0,0,0,4,245,0,1
19164410,DESIGNER,0,0,0,4,755,0,1
29147100,DESIGNER,0,0,0,4,247,0,1
25061645,DESIGNER,0,0,0,5,362,0,0
11919526,DESIGNER,0,6,1,5,909,2,0
81011612,DESIGNER,0,0,0,4,315,0,1
11722421,DESIGNER,0,0,2,4,643,0,1
13774329,DESIGNER,0,1,0,6,940,2,3
35990852,DESIGNER,0,0,1,5,1548,2,0
36269672,DESIGNER,0,0,0,3,417,0,2
90066849,DESIGNER,28,2,0,3,1091,1,-1
27529455,DESIGNER,0,1,1,5,1065,2,0
85101052,DESIGNER,0,1,0,3,826,0,2
22567495,DESIGNER,0,1,0,5,881,0,0
10751444,DESIGNER,0,1,0,4,1132,0,1
11807040,DESIGNER,0,4,4,8,1295,2,-1
12415691,DESIGNER,0,2,0,5,711,0,0
38565119,DESIGNER,0,2,2,4,826,0,1
21705160,DESIGNER,0,0,0,3,131,0,2
26496059,DESIGNER,0,2,0,7,1348,2,4
29524570,DESIGNER,0,2,0,5,711,0,0
15936656,DESIGNER,0,0,0,5,289,0,0
13557622,DESIGNER,0,0,0,4,200,0,1
41506705,DESIGNER,0,6,0,6,692,2,3
32954522,DESIGNER,0,2,0,4,491,0,1
44185767,DESIGNER,0,4,0,5,1101,2,0
14014749,DESIGNER,0,0,0,4,826,0,1
34349255,DESIGNER,0,0,0,6,338,0,3
16288901,DESIGNER,0,0,0,4,335,0,1
25422388,DESIGNER,0,0,0,5,763,0,0
22496394,DESIGNER,0,0,0,5,726,0,0
38744475,DESIGNER,0,0,0,5,456,0,0
67582956,DESIGNER,16,0,0,5,591,1,0
26676567,DESIGNER,0,1,1,5,1666,2,0
14724186,DESIGNER,0,0,0,3,359,0,2
10748989,DESIGNER,0,1,0,3,722,0,2
26924514,DESIGNER,0,2,5,6,1201,2,-1
12674307,DESIGNER,0,0,0,5,430,0,0
23951429,DESIGNER,0,1,0,5,286,0,0
26046064,DESIGNER,0,0,0,5,252,0,0
28326441,DESIGNER,0,1,1,5,843,0,0
78149576,DESIGNER,0,2,0,3,134,0,2
17555081,DESIGNER,0,1,0,5,710,0,0
39776400,DESIGNER,0,1,0,4,860,0,1
37263609,DESIGNER,0,0,0,5,606,0,0
13518263,DESIGNER,26,0,0,5,318,1,-1
11155153,DESIGNER,0,9,0,6,2284,2,-1
54201930,DESIGNER,0,0,0,6,914,2,3
10466583,DESIGNER,0,0,0,3,253,0,2
26790545,DESIGNER,0,0,0,7,754,2,4
11958994,DESIGNER,0,2,0,3,735,0,2
30968749,DESIGNER,4,1,2,4,815,0,1
20932019,DESIGNER,0,0,0,4,426,0,1
51681660,DESIGNER,0,0,0,5,1143,0,0
34657584,DESIGNER,0,0,0,5,801,0,0
15471999,DESIGNER,0,5,0,5,770,2,0
18979238,DESIGNER,0,1,0,5,957,0,0
26622051,DESIGNER,7,5,0,6,532,2,-1
22675694,DESIGNER,0,0,0,6,901,2,3
25023614,DESIGNER,0,1,0,5,714,0,0
20390397,DESIGNER,0,1,0,5,482,0,0
17199951,DESIGNER,0,0,0,4,477,0,1
14743911,DESIGNER,0,5,0,5,787,2,0
24455357,DESIGNER,0,0,0,3,565,0,2
91153752,DESIGNER,0,3,0,5,375,0,0
14528265,DESIGNER,0,8,0,6,307,2,-1
18460045,DESIGNER,0,0,0,3,242,0,2
20986595,DESIGNER,0,0,0,6,706,2,3
20748926,DESIGNER,0,1,0,5,782,0,0
32532982,DESIGNER,0,0,0,5,814,0,0
34317538,DESIGNER,0,0,3,5,2268,2,-1
19195747,DESIGNER,0,1,0,5,1090,2,0
12547982,DESIGNER,0,1,0,5,1099,2,0
94417768,DESIGNER,0,0,0,4,649,0,1
24655918,DESIGNER,30,0,0,5,465,1,-1
27497542,DESIGNER,0,0,0,5,393,0,0
62312955,DESIGNER,0,1,2,5,346,0,0
22506245,DESIGNER,0,0,0,5,539,0,0
28663949,DESIGNER,0,1,0,5,295,0,0
39434376,DESIGNER,0,2,0,4,256,0,1
13998435,DESIGNER,0,7,0,5,894,2,0
30965258,DESIGNER,0,1,0,5,711,0,0
18835363,DESIGNER,0,0,0,5,932,0,0
26503829,DESIGNER,0,0,0,4,811,0,1
18198627,DESIGNER,0,0,0,5,946,0,0
39252859,DESIGNER,0,4,0,5,706,2,0
34051710,DESIGNER,0,0,0,5,799,0,0
37664296,DESIGNER,0,6,0,5,1449,2,0
21916744,DESIGNER,0,0,0,4,732,0,1
15425154,DESIGNER,0,0,1,5,948,0,0
24285142,DESIGNER,15,3,0,5,883,1,0
24583187,DESIGNER,0,2,0,4,630,0,1
29865476,DESIGNER,0,2,0,4,830,0,1
25949631,DESIGNER,12,1,0,5,877,1,0
21283733,DESIGNER,0,2,0,6,838,2,3
51018476,DESIGNER,0,0,0,4,512,0,1
13014900,DESIGNER,0,6,0,5,1568,2,0
44145704,DESIGNER,0,1,0,7,699,2,4
18795567,DESIGNER,0,2,0,5,653,0,0
42384185,DESIGNER,0,0,2,5,760,0,0
26942552,DESIGNER,0,0,0,3,714,0,2
67645662,DESIGNER,0,0,0,5,1081,0,0
34511655,DESIGNER,0,0,0,4,747,0,1
37695494,DESIGNER,0,5,0,4,455,0,1
93301686,DESIGNER,0,4,1,5,791,2,0
36856210,INFORMATION-TECHNOLOGY,0,0,1,5,617,0,0
21780877,INFORMATION-TECHNOLOGY,0,3,0,3,807,0,2
33241454,INFORMATION-TECHNOLOGY,0,7,0,4,540,2,1
25990239,INFORMATION-TECHNOLOGY,0,0,0,4,736,0,1
16899268,INFORMATION-TECHNOLOGY,0,3,1,5,573,2,0
91635250,INFORMATION-TECHNOLOGY,0,1,0,4,944,0,1
19796840,INFORMATION-TECHNOLOGY,0,5,0,3,2043,2,-1
15651486,INFORMATION-TECHNOLOGY,0,1,0,3,888,0,2
52246737,INFORMATION-TECHNOLOGY,0,3,0,4,961,0,1
12045067,INFORMATION-TECHNOLOGY,0,0,0,4,1206,0,1
13836471,INFORMATION-TECHNOLOGY,0,2,0,3,658,0,2
14789139,INFORMATION-TECHNOLOGY,0,0,0,4,1163,0,1
36434348,INFORMATION-TECHNOLOGY,10,0,0,4,715,1,1
27536013,INFORMATION-TECHNOLOGY,10,1,0,3,780,0,-1
18301617,INFORMATION-TECHNOLOGY,0,4,0,4,657,0,1
24913648,INFORMATION-TECHNOLOGY,0,2,0,5,906,2,0
26801767,INFORMATION-TECHNOLOGY,30,5,0,7,1227,1,-1
27372171,INFORMATION-TECHNOLOGY,0,3,0,4,1572,2,1
91697974,INFORMATION-TECHNOLOGY,5,6,0,5,729,2,0
28672970,INFORMATION-TECHNOLOGY,0,2,0,5,846,0,0
66832845,INFORMATION-TECHNOLOGY,0,0,1,3,710,0,2
25207620,INFORMATION-TECHNOLOGY,0,6,0,5,862,2,0
41344156,INFORMATION-TECHNOLOGY,0,0,3,4,913,0,1
68460556,INFORMATION-TECHNOLOGY,0,1,0,3,330,0,2
10247517,INFORMATION-TECHNOLOGY,0,3,5,7,881,2,-1
25959103,INFORMATION-TECHNOLOGY,0,3,0,5,692,2,0
13385306,INFORMATION-TECHNOLOGY,0,0,0,4,714,0,1
38753827,INFORMATION-TECHNOLOGY,0,5,0,5,1289,2,0
17681064,INFORMATION-TECHNOLOGY,0,3,2,7,653,2,4
25905275,INFORMATION-TECHNOLOGY,0,0,0,3,966,0,2
11580408,INFORMATION-TECHNOLOGY,0,13,0,4,807,2,-1
19201175,INFORMATION-TECHNOLOGY,0,4,0,4,753,0,1
12635195,INFORMATION-TECHNOLOGY,0,3,0,6,380,2,3
32959732,INFORMATION-TECHNOLOGY,0,0,12,4,1661,2,-1
17688766,INFORMATION-TECHNOLOGY,0,0,0,4,579,0,1
20024870,INFORMATION-TECHNOLOGY,0,0,2,4,390,0,1
22450718,INFORMATION-TECHNOLOGY,5,2,0,3,995,0,2
46260230,INFORMATION-TECHNOLOGY,0,3,1,4,1321,2,1
10839851,INFORMATION-TECHNOLOGY,0,0,0,4,556,0,1
18752129,INFORMATION-TECHNOLOGY,0,3,0,5,1325,2,0
37764298,INFORMATION-TECHNOLOGY,0,5,2,3,872,0,2
90867631,INFORMATION-TECHNOLOGY,0,12,0,4,1641,2,-1
17641670,INFORMATION-TECHNOLOGY,0,23,0,6,1847,2,-1
24889109,INFORMATION-TECHNOLOGY,3,7,0,4,628,2,1
24083609,INFORMATION-TECHNOLOGY,0,1,0,4,237,0,1
24038620,INFORMATION-TECHNOLOGY,0,1,0,3,907,0,2
29051656,INFORMATION-TECHNOLOGY,0,0,5,4,956,0,1
20237244,INFORMATION-TECHNOLOGY,0,3,0,4,402,0,1
20001721,INFORMATION-TECHNOLOGY,0,0,0,4,465,0,1
92069209,INFORMATION-TECHNOLOGY,0,1,1,4,710,0,1
13405733,INFORMATION-TECHNOLOGY,0,3,0,7,797,2,4
28697203,INFORMATION-TECHNOLOGY,0,1,1,5,700,0,0
28035460,INFORMATION-TECHNOLOGY,0,2,2,5,805,2,0
21283365,INFORMATION-TECHNOLOGY,0,0,0,5,886,0,0
17987433,INFORMATION-TECHNOLOGY,0,0,0,4,751,0,1
10553553,INFORMATION-TECHNOLOGY,0,1,1,5,662,0,0
15118506,INFORMATION-TECHNOLOGY,0,6,3,5,721,2,-1
18176523,INFORMATION-TECHNOLOGY,0,4,0,6,606,2,3
24020470,INFORMATION-TECHNOLOGY,0,2,0,4,1098,0,1
70089206,INFORMATION-TECHNOLOGY,0,0,0,4,875,0,1
27770859,INFORMATION-TECHNOLOGY,0,0,0,3,741,0,2
57002858,INFORMATION-TECHNOLOGY,0,0,3,5,691,0,0
13477922,INFORMATION-TECHNOLOGY,0,11,0,3,723,2,-1
28126340,INFORMATION-TECHNOLOGY,9,3,1,5,1256,2,-1
37242217,INFORMATION-TECHNOLOGY,10,0,0,4,920,1,1
10089434,INFORMATION-TECHNOLOGY,0,2,1,7,1055,2,4
11957080,INFORMATION-TECHNOLOGY,0,10,1,5,1241,2,-1
35325329,INFORMATION-TECHNOLOGY,0,6,0,5,871,2,0
10840430,INFORMATION-TECHNOLOGY,0,2,0,4,915,0,1
64017585,INFORMATION-TECHNOLOGY,0,0,1,4,419,0,1
19850482,INFORMATION-TECHNOLOGY,0,0,0,4,983,0,1
52618188,INFORMATION-TECHNOLOGY,0,0,0,4,1012,0,1
28897981,INFORMATION-TECHNOLOGY,0,1,0,5,899,0,0
51639418,INFORMATION-TECHNOLOGY,0,0,2,5,655,0,0
20674668,INFORMATION-TECHNOLOGY,0,0,0,4,832,0,1
23527321,INFORMATION-TECHNOLOGY,0,0,0,4,809,0,1
18159866,INFORMATION-TECHNOLOGY,0,0,1,5,1347,2,0
22776912,INFORMATION-TECHNOLOGY,0,0,2,5,1172,2,0
23864648,INFORMATION-TECHNOLOGY,20,1,1,4,786,1,1
18187364,INFORMATION-TECHNOLOGY,0,3,0,4,1186,0,1
83816738,INFORMATION-TECHNOLOGY,3,0,1,5,1227,2,0
20824105,INFORMATION-TECHNOLOGY,0,6,2,4,916,2,1
33381211,INFORMATION-TECHNOLOGY,20,0,0,5,1513,1,-1
16533554,INFORMATION-TECHNOLOGY,0,5,3,6,702,2,3
20879311,INFORMATION-TECHNOLOGY,15,0,2,6,1030,1,-1
31111279,INFORMATION-TECHNOLOGY,0,6,0,5,1140,2,0
17111768,INFORMATION-TECHNOLOGY,0,5,0,6,1397,2,3
11584809,INFORMATION-TECHNOLOGY,0,10,1,6,662,2,-1
20408458,INFORMATION-TECHNOLOGY,0,0,0,4,1296,0,1
91121135,INFORMATION-TECHNOLOGY,0,0,0,4,829,0,1
